signal,horizon_seconds,actual_rows,delayed_net_positive_rate,event_outcomes_not_executable_trades,mean_delayed_net_return_bps,median_delayed_net_return_bps,requested_rows
trade_imbalance_60s_mean,300,500,0.094,True,-11.445672093996759,-11.818375486986714,500
trade_imbalance_60s_mean,300,1000,0.104,True,-12.211032799348263,-12.481609365845761,1000
trade_imbalance_300s_mean,300,100,0.12,True,-10.820705369027863,-12.687952642300296,100
trade_imbalance_300s_mean,300,500,0.104,True,-11.536694119786198,-12.146701978351643,500
trade_imbalance_300s_mean,300,1000,0.101,True,-11.750962882445416,-11.818078171628308,1000
signed_pressure_to_opposing_depth_10s,300,100,0.25,True,-10.750113645096521,-13.825932324245192,100
signed_pressure_to_opposing_depth_10s,300,500,0.214,True,-13.983325369754679,-13.108164384386914,500
signed_pressure_to_opposing_depth_10s,300,1000,0.198,True,-13.936879423325706,-13.512962721567133,1000
signed_pressure_to_opposing_depth_60s,300,100,0.2,True,-15.826988132736414,-15.58906932870239,100
signed_pressure_to_opposing_depth_60s,300,500,0.212,True,-15.29292805975076,-14.380817490640306,500
signed_pressure_to_opposing_depth_60s,300,1000,0.218,True,-14.290825300930784,-13.846094220514404,1000
signed_pressure_to_opposing_depth_300s,300,100,0.17,True,-17.653328292171043,-17.523061902328813,100
signed_pressure_to_opposing_depth_300s,300,500,0.212,True,-15.381877230055801,-14.398018502182389,500
signed_pressure_to_opposing_depth_300s,300,1000,0.213,True,-15.25285234604401,-14.914895147208775,1000
l1_imbalance,900,100,0.27,True,-10.346366670092094,-11.525600275656544,100
l1_imbalance,900,500,0.244,True,-10.842025993398384,-11.700549359724576,500
l1_imbalance,900,1000,0.236,True,-11.31716004444547,-12.032644155840865,1000
microprice_offset_bps,900,100,0.32,True,-13.774414932459639,-11.772752621115249,100
microprice_offset_bps,900,500,0.262,True,-13.978554281298864,-12.605503808474811,500
microprice_offset_bps,900,1000,0.256,True,-12.81196904928705,-12.0,1000
normalized_ofi,900,100,0.32,True,-8.673555003354988,-11.58184245355616,100
normalized_ofi,900,500,0.306,True,-11.6252724883119,-13.14721816034089,500
normalized_ofi,900,1000,0.302,True,-10.664887750893927,-11.284576040534489,1000
ofi_10s_mean,900,100,0.2,True,-16.831185758302286,-12.429152229796738,100
ofi_10s_mean,900,500,0.288,True,-10.008614095712256,-9.488043471717106,500
ofi_10s_mean,900,1000,0.275,True,-11.297558138073837,-11.621845519274347,1000
ofi_60s_mean,900,100,0.27,True,-15.009079460471495,-12.216496981175066,100
ofi_60s_mean,900,500,0.246,True,-13.374756498387896,-9.820283349834426,500
ofi_60s_mean,900,1000,0.263,True,-13.191648014107173,-10.270701357679506,1000
ofi_300s_mean,900,100,0.27,True,-13.21615990787035,-13.27924744187471,100
ofi_300s_mean,900,500,0.248,True,-14.456378072693049,-11.722245528924788,500
ofi_300s_mean,900,1000,0.266,True,-14.300296718330356,-10.939076911750622,1000
trade_imbalance,900,100,0.32,True,-8.959432477676105,-7.924996123526076,100
trade_imbalance,900,500,0.238,True,-10.888493723795074,-11.369297100982394,500
trade_imbalance,900,1000,0.198,True,-12.022499491347691,-12.643469723266318,1000
trade_imbalance_10s_mean,900,100,0.2,True,-11.926466131025975,-12.116477572393771,100
trade_imbalance_10s_mean,900,500,0.184,True,-12.381648132987811,-12.493566218151834,500
trade_imbalance_10s_mean,900,1000,0.208,True,-11.892140124842259,-12.407482153417593,1000
trade_imbalance_60s_mean,900,100,0.22,True,-9.279439447512694,-11.590064099376734,100
trade_imbalance_60s_mean,900,500,0.208,True,-11.11790709366291,-11.967474329975488,500
trade_imbalance_60s_mean,900,1000,0.203,True,-12.067467458420428,-12.425122331877299,1000
trade_imbalance_300s_mean,900,100,0.25,True,-9.574000033208057,-11.306263812714757,100
trade_imbalance_300s_mean,900,500,0.244,True,-10.630777373463777,-11.276147794904254,500
trade_imbalance_300s_mean,900,1000,0.224,True,-12.179033767914582,-11.901921886496135,1000
signed_pressure_to_opposing_depth_10s,900,100,0.43,True,-3.502678431456879,-10.057657555809353,100
signed_pressure_to_opposing_depth_10s,900,500,0.332,True,-10.570498318858714,-11.37254962962933,500
signed_pressure_to_opposing_depth_10s,900,1000,0.295,True,-11.654461307178504,-12.668843900799985,1000
signed_pressure_to_opposing_depth_60s,900,100,0.41,True,-5.905010029140266,-9.551203959914954,100
signed_pressure_to_opposing_depth_60s,900,500,0.36,True,-10.688459825737118,-11.082194798972239,500
signed_pressure_to_opposing_depth_60s,900,1000,0.335,True,-10.76336330590183,-11.531831115356145,1000
signed_pressure_to_opposing_depth_300s,900,100,0.41,True,-5.271840242856964,-9.250194452634116,100
signed_pressure_to_opposing_depth_300s,900,500,0.336,True,-10.35516528828157,-11.651085257235362,500
signed_pressure_to_opposing_depth_300s,900,1000,0.328,True,-11.40475650460806,-12.524306454864718,1000
