signal,horizon_seconds,date,rows,weighted_roc_auc,unweighted_roc_auc,spearman_information_coefficient,weighted_direction_accuracy
ofi_10s_mean,120,2023-06-24,4816,0.510059739766248,0.5092651511268348,0.024357308490315817,0.5033714265636989
ofi_10s_mean,120,2023-06-25,5322,0.5098008042095842,0.5180920959706389,0.036810236010774655,0.5070552317945854
ofi_60s_mean,120,2023-06-21,6494,0.4891241018361314,0.4866355369822936,-0.03181043583145197,0.48919210199681723
ofi_60s_mean,120,2023-06-22,6223,0.4992266193432717,0.5030174314526941,-0.0067864812601547775,0.5034172625189605
ofi_60s_mean,120,2023-06-23,5854,0.4855291472769931,0.48139884079901735,-0.03418730756996649,0.48995307949280403
ofi_60s_mean,120,2023-06-24,4816,0.5169531771111379,0.5182747898386656,0.028454910647592726,0.5119342137163906
ofi_60s_mean,120,2023-06-25,5322,0.49134451561207454,0.5033899109470394,0.023243435232936396,0.49726013705815897
ofi_300s_mean,120,2023-06-21,6494,0.4774262726585651,0.47233346920427877,-0.07821113081055678,0.48705099488018544
ofi_300s_mean,120,2023-06-22,6223,0.5112105209864394,0.520855329300168,0.024258417877424353,0.5094397219746827
ofi_300s_mean,120,2023-06-23,5854,0.49694882252581235,0.49607742173525193,-0.0011727393055879273,0.5025935202185539
ofi_300s_mean,120,2023-06-24,4816,0.5008350136178528,0.5122543270997278,0.014450595312432656,0.49963069887049255
ofi_300s_mean,120,2023-06-25,5322,0.4891586067363151,0.4936083229093572,0.0014741585616814881,0.49637992282047166
trade_imbalance,120,2023-06-21,6494,0.49656430612412317,0.4940984232621217,-0.013634234119770012,0.49716510676717063
trade_imbalance,120,2023-06-22,6223,0.5004981764572467,0.5011986100650788,0.002087987819513713,0.4999522259724491
trade_imbalance,120,2023-06-23,5854,0.48789529859042163,0.48475238542265064,-0.016902208287331934,0.49202164995735004
trade_imbalance,120,2023-06-24,4816,0.49106655405635663,0.4889024253228077,-0.013253827727714492,0.49793630446937487
trade_imbalance,120,2023-06-25,5322,0.4945315491043234,0.5023212415209852,0.012757738930331749,0.5035511646029741
trade_imbalance_10s_mean,120,2023-06-21,6494,0.4849341497624827,0.48327368344863314,-0.03140399272792518,0.48826205738554707
trade_imbalance_10s_mean,120,2023-06-22,6223,0.49093447669533924,0.49646097082505264,-0.015984031896883275,0.49679430237547473
trade_imbalance_10s_mean,120,2023-06-23,5854,0.48151765364000493,0.47801055984456803,-0.028231906878112,0.4857183833536762
trade_imbalance_10s_mean,120,2023-06-24,4816,0.4915462335510528,0.4869485017790947,-0.0168206212992841,0.49957485878166114
trade_imbalance_10s_mean,120,2023-06-25,5322,0.4923376984516618,0.5066012865842014,0.020232628664682402,0.5016128356011588
trade_imbalance_60s_mean,120,2023-06-21,6494,0.4829707426293363,0.48512927422058333,-0.021423424201906054,0.48207480022384835
trade_imbalance_60s_mean,120,2023-06-22,6223,0.50085229681467,0.5121688562538285,0.013634645400669162,0.5027615242672212
trade_imbalance_60s_mean,120,2023-06-23,5854,0.48682721889109637,0.48510202556593945,-0.027118437667123425,0.4938610591712459
trade_imbalance_60s_mean,120,2023-06-24,4816,0.4929143788779583,0.4941416810732177,-0.012244309604020964,0.4909569548243601
trade_imbalance_60s_mean,120,2023-06-25,5322,0.47559968830768373,0.49229035378240615,0.006353187295024019,0.48133372616467957
trade_imbalance_300s_mean,120,2023-06-21,6494,0.4722185894253218,0.46702516914027975,-0.07208962251630954,0.4715606997917667
trade_imbalance_300s_mean,120,2023-06-22,6223,0.521787814327558,0.5373857183111811,0.06776022217650986,0.5211708841962841
trade_imbalance_300s_mean,120,2023-06-23,5854,0.49174307024040675,0.49000621167327535,-0.026139524261904655,0.48782854730375713
trade_imbalance_300s_mean,120,2023-06-24,4816,0.4754576484456194,0.48191677975313063,-0.04272176555725098,0.4822339485789282
