round,treatment,view,objective,seed,fold,loss_skill,final_iterations,backend,device,reload_max_abs_prediction_error_bps,model_sha256,file_sha256
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2024-04,0.03482357816840809,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2024-05,0.028415712330104537,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5601,2024-06,0.01710200278398777,93,opencl,opencl:auto,0.0,6e47b143f2e47370400a4691177d80c6cb15f054a147ce94b42823828ce96bd8,e15045cd569e0063cb08cdecdf617aba7f13a3200356ef6647968d364b535e3d
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5602,2023-07,0.022011553974264242,88,opencl,opencl:auto,0.0,ba1285e168dad916c24d016c2179051abb420d1b4f77b6fbb3fca484cb3a9ed5,27c4619653009e415e8c6f77786f00cedabe752d5cded8b7285292888e02c4a8
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5602,2023-08,0.03346792876132654,88,opencl,opencl:auto,0.0,ba1285e168dad916c24d016c2179051abb420d1b4f77b6fbb3fca484cb3a9ed5,27c4619653009e415e8c6f77786f00cedabe752d5cded8b7285292888e02c4a8
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5602,2023-09,0.023703339969512904,88,opencl,opencl:auto,0.0,ba1285e168dad916c24d016c2179051abb420d1b4f77b6fbb3fca484cb3a9ed5,27c4619653009e415e8c6f77786f00cedabe752d5cded8b7285292888e02c4a8
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5602,2023-10,0.03017253592026392,88,opencl,opencl:auto,0.0,ba1285e168dad916c24d016c2179051abb420d1b4f77b6fbb3fca484cb3a9ed5,27c4619653009e415e8c6f77786f00cedabe752d5cded8b7285292888e02c4a8
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5602,2023-11,0.035876222507828515,88,opencl,opencl:auto,0.0,ba1285e168dad916c24d016c2179051abb420d1b4f77b6fbb3fca484cb3a9ed5,27c4619653009e415e8c6f77786f00cedabe752d5cded8b7285292888e02c4a8
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5602,2023-12,0.027162307039610978,88,opencl,opencl:auto,0.0,ba1285e168dad916c24d016c2179051abb420d1b4f77b6fbb3fca484cb3a9ed5,27c4619653009e415e8c6f77786f00cedabe752d5cded8b7285292888e02c4a8
56,baseline_72,stop_normalized_stress_payoff,conditional_mean,5602,2024-01,0.02367166059090864,88,opencl,opencl:auto,0.0,ba1285e168dad916c24d016c2179051abb420d1b4f77b6fbb3fca484cb3a9ed5,27c4619653009e415e8c6f77786f00cedabe752d5cded8b7285292888e02c4a8
