round,treatment,interval,controller,symbol,stage,relation,eligible_rows,total_rows,eligible_fraction
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,all_view_seed_supported,exact_rule_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,controller_model_eligible,controller_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,liquidity_eligible,market_gate,472,719,0.6564673157162726
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,volatility_eligible,market_gate,717,719,0.9972183588317107
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,model_plus_liquidity,controller_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,model_plus_volatility,controller_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,market_eligible,controller_stage,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,market_eligible_long,controller_side,2,719,0.0027816411682892906
55,baseline_71,development_holdout,all_view_consensus,SOLUSDT,market_eligible_short,controller_side,0,719,0.0
55,baseline_71,development_holdout,majority_view_consensus,ALL,all_rows,denominator,2157,2157,1.0
55,baseline_71,development_holdout,majority_view_consensus,ALL,any_view_vote,independent_model_stage,63,2157,0.02920723226703755
55,baseline_71,development_holdout,majority_view_consensus,ALL,two_view_side_agreement,independent_model_stage,21,2157,0.009735744089012517
55,baseline_71,development_holdout,majority_view_consensus,ALL,all_view_positive,exact_rule_stage,7,2157,0.003245248029670839
55,baseline_71,development_holdout,majority_view_consensus,ALL,all_view_positive_preferred,exact_rule_stage,7,2157,0.003245248029670839
55,baseline_71,development_holdout,majority_view_consensus,ALL,all_view_seed_supported,exact_rule_stage,7,2157,0.003245248029670839
55,baseline_71,development_holdout,majority_view_consensus,ALL,controller_model_eligible,controller_stage,21,2157,0.009735744089012517
55,baseline_71,development_holdout,majority_view_consensus,ALL,liquidity_eligible,market_gate,1402,2157,0.6499768196569309
